Day  Population  Infected_p  Recovered_p  Infected_s  Recovered_s  Infected_p_only  Infected_s_only coinfected_s_p reinfected_s_p coinfected_p_s reinfected_p_s coinfected_sim
1    213544		1		0		0		0		1		0		0		0		0		0		0 
2    213544		6		0		0		0		6		0		0		0		0		0		0 
3    213544		10		0		0		0		10		0		0		0		0		0		0 
4    213544		16		0		0		0		16		0		0		0		0		0		0 
5    213544		21		0		1		0		21		1		0		0		0		0		0 
6    213544		31		0		2		0		31		2		0		0		0		0		0 
7    213544		40		0		6		0		40		6		0		0		0		0		0 
8    213544		45		0		7		0		45		7		0		0		0		0		0 
9    213544		48		0		10		0		48		10		0		0		0		0		0 
10    213544		59		0		14		0		59		14		0		0		0		0		0 
11    213544		69		0		15		0		69		15		0		0		0		0		0 
12    213544		80		1		19		0		80		19		0		0		0		0		0 
13    213544		98		5		21		0		98		21		0		0		0		0		0 
14    213544		117		4		22		0		117		22		0		0		0		0		0 
15    213544		132		6		22		0		132		22		0		0		0		0		0 
16    213544		154		5		24		1		154		24		0		0		0		0		0 
17    213544		175		10		25		1		175		25		0		0		0		0		0 
18    213544		208		9		26		4		208		26		0		0		0		0		0 
19    213544		234		5		27		1		234		27		0		0		0		0		0 
20    213544		269		3		27		3		269		27		0		0		0		0		0 
