Day  Population  Infected_p  Recovered_p  Infected_s  Recovered_s  Infected_p_only  Infected_s_only coinfected_s_p reinfected_s_p coinfected_p_s reinfected_p_s coinfected_sim
1    513947		3		0		2		0		3		2		0		0		0		0		0 
2    513947		6		0		7		0		6		7		0		0		0		0		0 
3    513947		12		0		12		0		12		12		0		0		0		0		0 
4    513947		24		0		15		0		24		15		0		0		0		0		0 
5    513947		43		0		24		0		43		24		0		0		0		0		0 
6    513947		61		0		30		0		61		30		0		0		0		0		0 
7    513947		93		0		34		0		93		34		0		0		0		0		0 
8    513947		114		0		42		0		114		42		0		0		0		0		0 
9    513947		154		0		48		0		154		48		0		0		0		0		0 
10    513947		194		0		53		0		194		53		0		0		0		0		0 
11    513947		242		0		66		0		242		66		0		0		0		0		0 
12    513947		294		3		71		2		294		71		0		0		0		0		0 
13    513947		358		3		76		5		358		76		0		0		0		0		0 
14    513947		422		6		80		5		422		80		0		0		0		0		0 
15    513947		501		12		83		3		501		83		0		0		0		0		0 
16    513947		610		19		88		9		610		88		0		0		0		0		0 
17    513947		700		18		96		6		700		96		0		0		0		0		0 
18    513947		821		32		99		4		821		99		0		0		0		0		0 
19    513947		977		21		104		8		977		104		0		0		0		0		0 
20    513947		1084		40		110		6		1084		110		0		0		0		0		0 
