Generation   Generation_size_p   Avg_R_p   Generation_size_s   Avg_R_s
	1			999			1.464464			994			0.789738 
	2			1434			1.261506			769			0.694408 
	3			1769			1.192764			520			0.736538 
	4			2060			1.274272			366			0.636612 
	5			2563			1.216153			229			0.742358 
	6			3048			1.177493			163			0.662577 
	7			3516			0.898180			105			0.609524 
	8			3074			0.495446			62			0.274194 
	9			1487			0.195024			15			0.133333 
	10			284			0.070423			2			0.000000 
	11			20			0.050000			0			0.000000 
	12			1			0.000000			0			0.000000 
	13			0			0.000000			0			0.000000 
	14			0			0.000000			0			0.000000 
	15			0			0.000000			0			0.000000 
	16			0			0.000000			0			0.000000 
	17			0			0.000000			0			0.000000 
	18			0			0.000000			0			0.000000 
	19			0			0.000000			0			0.000000 
	20			0			0.000000			0			0.000000 
